BMSK_chr1	15789945	15801628
BMSK_chr1	17974413	17983847
BMSK_chr1	34325	75880
BMSK_chr1	5051133	5069752
BMSK_chr10	14360500	14400061
BMSK_chr10	2989015	3011829
BMSK_chr10	8527943	8619628
BMSK_chr11	16119381	16151482
BMSK_chr11	8608426	8634388
BMSK_chr11	9597563	9627574
BMSK_chr12	1707370	1803556
BMSK_chr13	14613535	14614290
BMSK_chr13	8955810	8975291
BMSK_chr14	11176152	11176352
BMSK_chr15	12844399	12846814
BMSK_chr15	13435521	13437798
BMSK_chr15	15389061	15401739
BMSK_chr16	3511087	3519083
BMSK_chr16	6455604	6460505
BMSK_chr17	1115218	1116692
BMSK_chr17	14314499	14370348
BMSK_chr17	5457285	5466117
BMSK_chr18	12260299	12268208
BMSK_chr19	4201303	4204906
BMSK_chr19	8653157	8695689
BMSK_chr2	634920	647267
BMSK_chr2	7199915	7202160
BMSK_chr20	11964484	11968499
BMSK_chr22	15036496	15038212
BMSK_chr22	3605248	3610851
BMSK_chr24	11904551	11946976
BMSK_chr24	9505166	9556020
BMSK_chr25	10241565	10248645
BMSK_chr25	13463547	13470446
BMSK_chr26	4312253	4315109
BMSK_chr27	6811134	6899362
BMSK_chr3	10780782	10804880
BMSK_chr3	13107103	13121918
BMSK_chr3	14167557	14173603
BMSK_chr3	9445650	9449808
BMSK_chr4	11022691	11036013
BMSK_chr4	14873503	14884752
BMSK_chr4	613046	623023
BMSK_chr5	12636889	12649430
BMSK_chr6	480413	516357
BMSK_chr7	188287	191698
BMSK_chr7	216028	219442
BMSK_chr7	7388809	7413977
BMSK_chr7	7693440	7707994
BMSK_chr8	1958625	1959824
BMSK_chr8	6723019	6729902
BMSK_chr9	1119964	1143597
